Wavelength [nm], Intensity [64 bit] LiF_1.tif
5.4398168027897595, 54.734375
5.44818260071907, 53.9375
5.45654657321, 56.515625
5.46490872329033, 57.3125
5.47326905398784, 57.65625
5.48162756833031, 56.140625
5.48998426934552, 58.359375
5.498339160061249, 59.296875
5.50669224350528, 57.453125
5.5150435227053904, 58.796875
5.52339300068936, 61.09375
5.53174068048497, 62.671875
5.540086565119999, 60.640625
5.54843065762223, 61.484375
5.5567729610194405, 61.953125
5.56511347833941, 64.71875
5.57345221260992, 67.34375
5.58178916685875, 65.625
5.59012434411368, 68.453125
5.59845774740249, 70.078125
5.606789379752961, 68.625
5.61511924419287, 68.203125
5.62344734375, 68.375
5.63177368145213, 67.53125
5.64009826032704, 69.765625
5.64842108340251, 70.96875
5.65674215370632, 71.703125
5.66506147426625, 72.25
5.67337904811008, 70.734375
5.68169487826559, 71.59375
5.69000896776056, 71.484375
5.69832131962277, 71.09375
5.706631936879999, 74.15625
5.714940822560029, 73.953125
5.72324797969064, 74.109375
5.731553411299609, 73.71875
5.73985712041472, 73.390625
5.7481591100637495, 75.75
5.75645938327448, 78.703125
5.76475794307469, 76.15625
5.77305479249216, 75.28125
5.781349934554671, 75.5
5.78964337229, 74.40625
5.79793510872593, 79.015625
5.80622514689024, 77.484375
5.81451348981071, 74.171875
5.82280014051512, 71.671875
5.831085102031249, 75.90625
5.839368377386879, 80.40625
5.84764996960979, 78.421875
5.85592988172776, 77.640625
5.86420811676857, 77.578125
5.87248467776, 82.515625
5.8807595677298306, 83.328125
5.88903278970584, 82.84375
5.89730434671581, 82.40625
5.905574241787519, 76.765625
5.91384247794875, 78.453125
5.92210905822728, 86.65625
5.93037398565089, 85.109375
5.93863726324736, 77.921875
5.94689889404447, 77.484375
5.95515888107, 79.609375
5.96341722735173, 82.59375
5.97167393591744, 82.15625
5.97992900979491, 85.4375
5.98818245201192, 83.046875
5.99643426559625, 79.4375
6.004684453575679, 81.109375
6.012933018977989, 87.109375
6.02117996483096, 85.203125
6.02942529416237, 86.03125
6.03766901, 84.359375
6.04591111537163, 84.53125
6.05415161330504, 87.546875
6.0623905068280095, 83.859375
6.07062779896832, 82.203125
6.07886349275375, 83.1875
6.08709759121208, 83.4375
6.0953300973710896, 85.125
6.10356101425856, 86.078125
6.1117903449022695, 83.34375
6.12001809233, 86.0
6.12824425956953, 88.953125
6.13646884964864, 92.875
6.14469186559511, 89.484375
6.15291331043672, 86.375
6.16113318720125, 84.390625
6.16935149891648, 88.25
6.177568248610189, 87.78125
6.18578343931016, 90.4375
6.193997074044169, 91.78125
6.20220915584, 91.09375
6.21041968772543, 85.90625
6.21862867272824, 86.28125
6.22683611387621, 90.125
6.23504201419712, 89.53125
6.24324637671875, 88.328125
6.25144920446888, 89.421875
6.25965050047529, 87.859375
6.26785026776576, 92.515625
6.27604850936807, 93.859375
6.2842452283100005, 90.96875
6.292440427619329, 93.875
6.30063411032384, 92.515625
6.30882627945131, 93.265625
6.31701693802952, 93.703125
6.32520608908625, 94.296875
6.33339373564928, 92.359375
6.341579880746391, 91.484375
6.34976452740536, 93.484375
6.35794767865397, 97.046875
6.36612933752, 94.5625
6.37430950703123, 89.828125
6.38248819021544, 93.8125
6.390665390100409, 93.21875
6.39884110971392, 92.578125
6.40701535208375, 90.875
6.41518812023768, 92.859375
6.42335941720349, 97.484375
6.43152924600896, 105.375
6.43969760968187, 103.640625
6.44786451125, 98.671875
6.45602995374113, 99.015625
6.46419394018304, 101.625
6.47235647360351, 97.953125
6.4805175570303195, 93.96875
6.488677193491251, 90.75
6.49683538601408, 88.09375
6.50499213762659, 89.109375
6.513147451356559, 91.21875
6.52130133023177, 94.328125
6.5294537772800005, 91.71875
6.537604795529029, 98.25
6.545754388006641, 102.875
6.55390255774061, 106.46875
6.56204930775872, 110.21875
6.570194641088749, 109.921875
6.57833856075848, 105.53125
6.58648106979569, 102.984375
6.59462217122816, 101.734375
6.60276186808367, 96.265625
6.610900163389999, 92.546875
6.6190370601749295, 89.015625
6.62717256146624, 89.328125
6.63530667029171, 88.4375
6.64343938967912, 86.09375
6.65157072265625, 87.4375
6.65970067225088, 87.6875
6.667829241490789, 87.390625
6.67595643340376, 86.046875
6.6840822510175695, 90.5625
